"School","Gender","Ethnicity","Type of Homelessness","Count of Students","year"
"Riverview Elem","M","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2014-2015"
"Riverview Elem","M","Asian-Chinese","Temporarily Doubled Up",1,"2014-2015"
"Riverview Elem","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2014-2015"
"Riverview Elem","M","Black or African American","Temporarily Doubled Up",2,"2014-2015"
"Riverview Elem","M","Hispanic","Temporarily Doubled Up",53,"2014-2015"
"Riverview Elem","M","White","Hotels/motels",1,"2014-2015"
"Riverview Elem","M","White","Temporarily Doubled Up",15,"2014-2015"
"Riverview Elem","M","White","Temporary Shelters",1,"2014-2015"
"Ronald Reagan Elementary","F","Black or African American","Temporarily Doubled Up",1,"2014-2015"
"Ronald Reagan Elementary","F","Hispanic","Temporarily Doubled Up",2,"2014-2015"
"Ronald Reagan Elementary","F","White","Temporarily Doubled Up",1,"2014-2015"
"Ronald Reagan Elementary","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2014-2015"
"Ronald Reagan Elementary","M","Asian-Chinese","Temporarily Doubled Up",1,"2014-2015"
"Ronald Reagan Elementary","M","Black or African American","Temporarily Doubled Up",1,"2014-2015"
"Ronald Reagan Elementary","M","Hispanic","Temporarily Doubled Up",2,"2014-2015"
"Rosa Parks Elem","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2014-2015"
"Rosa Parks Elem","F","Asian-Chinese","Temporarily Doubled Up",6,"2014-2015"
"Rosa Parks Elem","F","Asian-Other","Temporarily Doubled Up",4,"2014-2015"
"Rosa Parks Elem","F","Asian-Vietnamese","Temporarily Doubled Up",2,"2014-2015"
"Rosa Parks Elem","F","Black or African American","Temporarily Doubled Up",13,"2014-2015"
"Rosa Parks Elem","F","Filipino","Temporarily Doubled Up",4,"2014-2015"
"Rosa Parks Elem","F","Hispanic","Temporarily Doubled Up",40,"2014-2015"
"Rosa Parks Elem","F","White","Temporarily Doubled Up",7,"2014-2015"
"Rosa Parks Elem","M","Asian-Asian Indian","Temporarily Doubled Up",5,"2014-2015"
"Rosa Parks Elem","M","Asian-Chinese","Temporarily Doubled Up",5,"2014-2015"
"Rosa Parks Elem","M","Asian-Other","Temporarily Doubled Up",6,"2014-2015"
"Rosa Parks Elem","M","Asian-Vietnamese","Temporarily Doubled Up",4,"2014-2015"
"Rosa Parks Elem","M","Black or African American","Temporarily Doubled Up",8,"2014-2015"
"Rosa Parks Elem","M","Filipino","Temporarily Doubled Up",2,"2014-2015"
"Rosa Parks Elem","M","Hispanic","Temporarily Doubled Up",49,"2014-2015"
"Rosa Parks Elem","M","Hispanic","Temporary Shelters",2,"2014-2015"
"Rosa Parks Elem","M","White","Temporarily Doubled Up",7,"2014-2015"
"Santiago High","F","Asian-Other","Temporarily Doubled Up",1,"2014-2015"
"Santiago High","F","Black or African American","Temporarily Doubled Up",2,"2014-2015"
"Santiago High","F","Filipino","Temporarily Doubled Up",1,"2014-2015"
"Santiago High","F","Hispanic","Hotels/motels",1,"2014-2015"
"Santiago High","F","Hispanic","Temporarily Doubled Up",7,"2014-2015"
"Santiago High","F","White","Temporarily Doubled Up",1,"2014-2015"
"Santiago High","F","White","Temporary Shelters",1,"2014-2015"
"Santiago High","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2014-2015"
"Santiago High","M","Asian-Other","Temporarily Doubled Up",2,"2014-2015"
"Santiago High","M","Black or African American","Temporarily Doubled Up",4,"2014-2015"
"Santiago High","M","Black or African American","Temporary Shelters",1,"2014-2015"
"Santiago High","M","Hispanic","Hotels/motels",3,"2014-2015"
"Santiago High","M","Hispanic","Temporarily Doubled Up",5,"2014-2015"
"Santiago High","M","Hispanic","Temporarily Unsheltered",1,"2014-2015"
"Santiago High","M","White","Temporarily Doubled Up",3,"2014-2015"
"Santiago High","M","White","Temporary Shelters",1,"2014-2015"
"Sierra Vista Elem","F","Hispanic","Temporarily Doubled Up",3,"2014-2015"
"Sierra Vista Elem","F","White","Temporarily Doubled Up",1,"2014-2015"
"Sierra Vista Elem","F","White","Temporarily Unsheltered",1,"2014-2015"
"Sierra Vista Elem","M","Hispanic","Temporarily Doubled Up",5,"2014-2015"
"Sierra Vista Elem","M","White","Temporarily Doubled Up",5,"2014-2015"
"Susan B. Anthony Elem","F","Asian-Japanese","Temporarily Doubled Up",1,"2014-2015"
"Susan B. Anthony Elem","F","Asian-Other","Temporarily Doubled Up",1,"2014-2015"
"Susan B. Anthony Elem","F","Asian-Vietnamese","Temporarily Doubled Up",1,"2014-2015"
"Susan B. Anthony Elem","F","Filipino","Temporarily Doubled Up",1,"2014-2015"
"Susan B. Anthony Elem","F","Hispanic","Temporarily Doubled Up",11,"2014-2015"
"Susan B. Anthony Elem","F","Pac Islander -Samoan","Temporarily Doubled Up",1,"2014-2015"
"Susan B. Anthony Elem","F","White","Temporarily Doubled Up",16,"2014-2015"
"Susan B. Anthony Elem","M","Asian-Vietnamese","Temporarily Doubled Up",3,"2014-2015"
"Susan B. Anthony Elem","M","Black or African American","Temporarily Doubled Up",8,"2014-2015"
"Susan B. Anthony Elem","M","Filipino","Temporarily Doubled Up",1,"2014-2015"
"Susan B. Anthony Elem","M","Hispanic","Hotels/motels",3,"2014-2015"
"Susan B. Anthony Elem","M","Hispanic","Temporarily Doubled Up",7,"2014-2015"
"Susan B. Anthony Elem","M","White","Temporarily Doubled Up",18,"2014-2015"
"Temescal Valley Elem","F","Hispanic","Temporarily Doubled Up",5,"2014-2015"
"Temescal Valley Elem","F","White","Temporarily Doubled Up",3,"2014-2015"
"Temescal Valley Elem","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2014-2015"
"Temescal Valley Elem","M","Black or African American","Temporarily Doubled Up",3,"2014-2015"
"Temescal Valley Elem","M","Hispanic","Temporarily Doubled Up",12,"2014-2015"
"Temescal Valley Elem","M","White","Temporarily Doubled Up",1,"2014-2015"
"Temescal Valley Elem","M","White","Temporarily Unsheltered",1,"2014-2015"
"Vandermolen Fundamental Elem","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2014-2015"
"Vandermolen Fundamental Elem","F","Asian-Chinese","Temporarily Doubled Up",1,"2014-2015"
"Vandermolen Fundamental Elem","F","Asian-Korean","Temporarily Doubled Up",1,"2014-2015"
"Vandermolen Fundamental Elem","F","Asian-Laotian","Temporarily Doubled Up",2,"2014-2015"
"Vandermolen Fundamental Elem","F","Asian-Vietnamese","Temporarily Doubled Up",2,"2014-2015"
"Vandermolen Fundamental Elem","F","Black or African American","Temporarily Doubled Up",9,"2014-2015"
"Vandermolen Fundamental Elem","F","Filipino","Temporarily Doubled Up",1,"2014-2015"
"Vandermolen Fundamental Elem","F","Hispanic","Temporarily Doubled Up",82,"2014-2015"
"Vandermolen Fundamental Elem","F","Pac Islander-Other","Temporarily Doubled Up",1,"2014-2015"
"Vandermolen Fundamental Elem","F","White","Temporarily Doubled Up",19,"2014-2015"
"Vandermolen Fundamental Elem","F","White","Temporarily Unsheltered",1,"2014-2015"
"Vandermolen Fundamental Elem","F","White","Temporary Shelters",1,"2014-2015"
"Vandermolen Fundamental Elem","M","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2014-2015"
"Vandermolen Fundamental Elem","M","Asian-Chinese","Temporarily Doubled Up",4,"2014-2015"
"Vandermolen Fundamental Elem","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2014-2015"
"Vandermolen Fundamental Elem","M","Black or African American","Temporarily Doubled Up",5,"2014-2015"
"Vandermolen Fundamental Elem","M","Filipino","Temporarily Doubled Up",5,"2014-2015"
"Vandermolen Fundamental Elem","M","Hispanic","Temporarily Doubled Up",74,"2014-2015"
"Vandermolen Fundamental Elem","M","Hispanic","Temporary Shelters",2,"2014-2015"
"Vandermolen Fundamental Elem","M","Pac Islander-Other","Temporarily Doubled Up",1,"2014-2015"
"Vandermolen Fundamental Elem","M","White","Temporarily Doubled Up",8,"2014-2015"
"Vandermolen Fundamental Elem","M","White","Temporary Shelters",1,"2014-2015"
"Vicentia Elementary","F","Black or African American","Temporarily Doubled Up",1,"2014-2015"
"Vicentia Elementary","F","Hispanic","Temporarily Doubled Up",15,"2014-2015"
"Vicentia Elementary","F","White","Temporarily Doubled Up",1,"2014-2015"
"Vicentia Elementary","M","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2014-2015"
"Vicentia Elementary","M","Hispanic","Temporarily Doubled Up",16,"2014-2015"
"Vicentia Elementary","M","Hispanic","Temporary Shelters",1,"2014-2015"
"Vicentia Elementary","M","White","Temporarily Doubled Up",2,"2014-2015"
"Vicentia Elementary","M","White","Temporary Shelters",1,"2014-2015"
"Victress Bower School","F","Hispanic","Temporarily Doubled Up",2,"2014-2015"
"Victress Bower School","F","White","Temporary Shelters",1,"2014-2015"
"Victress Bower School","M","Hispanic","Temporarily Doubled Up",3,"2014-2015"
"William McKinley Elem","F","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2014-2015"
"William McKinley Elem","F","Asian-Vietnamese","Temporarily Doubled Up",1,"2014-2015"
"William McKinley Elem","F","Black or African American","Hotels/motels",1,"2014-2015"
"William McKinley Elem","F","Black or African American","Temporarily Doubled Up",5,"2014-2015"
"William McKinley Elem","F","Filipino","Temporarily Doubled Up",1,"2014-2015"
"William McKinley Elem","F","Hispanic","Hotels/motels",2,"2014-2015"
"William McKinley Elem","F","Hispanic","Temporarily Doubled Up",12,"2014-2015"
"William McKinley Elem","F","White","Temporarily Doubled Up",3,"2014-2015"
"William McKinley Elem","M","Black or African American","Temporarily Doubled Up",2,"2014-2015"
"William McKinley Elem","M","Hispanic","Hotels/motels",1,"2014-2015"
"William McKinley Elem","M","Hispanic","Temporarily Doubled Up",19,"2014-2015"
"William McKinley Elem","M","White","Temporarily Doubled Up",5,"2014-2015"
"William McKinley Elem","M","White","Temporary Shelters",1,"2014-2015"
"Woodrow Wilson Elem","F","Black or African American","Temporary Shelters",1,"2014-2015"
"Woodrow Wilson Elem","F","White","Temporarily Doubled Up",2,"2014-2015"
"Woodrow Wilson Elem","M","Hispanic","Temporarily Doubled Up",3,"2014-2015"
"Woodrow Wilson Elem","M","White","Temporarily Doubled Up",3,"2014-2015"
"Auburndale Int.","F","Hispanic","Hotels/motels",2,"2015-2016"
"Auburndale Int.","F","Hispanic","Temporarily Doubled Up",7,"2015-2016"
"Auburndale Int.","M","Asian-Laotian","Temporarily Doubled Up",1,"2015-2016"
"Auburndale Int.","M","Hispanic","Hotels/motels",1,"2015-2016"
"Auburndale Int.","M","Hispanic","Temporarily Doubled Up",5,"2015-2016"
"Ben Franklin Elem","F","Hispanic","Temporarily Doubled Up",1,"2015-2016"
"Ben Franklin Elem","F","White","Temporarily Doubled Up",1,"2015-2016"
"Ben Franklin Elem","M","Hispanic","Hotels/motels",1,"2015-2016"
"Ben Franklin Elem","M","Hispanic","Temporarily Doubled Up",4,"2015-2016"
"Centennial High","F","Black or African American","Hotels/motels",2,"2015-2016"
"Centennial High","F","Black or African American","Temporarily Doubled Up",1,"2015-2016"
"Centennial High","F","Hispanic","Temporarily Doubled Up",5,"2015-2016"
"Centennial High","F","White","Temporarily Unsheltered",1,"2015-2016"
"Centennial High","F","White","Temporary Shelters",1,"2015-2016"
"Centennial High","M","Asian-Vietnamese","Temporarily Doubled Up",2,"2015-2016"
"Centennial High","M","Black or African American","Hotels/motels",3,"2015-2016"
"Centennial High","M","Black or African American","Temporarily Doubled Up",4,"2015-2016"
"Centennial High","M","Black or African American","Temporary Shelters",1,"2015-2016"
"Centennial High","M","Hispanic","Temporarily Doubled Up",3,"2015-2016"
"Centennial High","M","White","Temporarily Doubled Up",2,"2015-2016"
"Cesar Chavez Academy","F","Asian-Japanese","Temporarily Doubled Up",1,"2015-2016"
"Cesar Chavez Academy","F","Asian-Other","Temporarily Doubled Up",1,"2015-2016"
"Cesar Chavez Academy","F","Asian-Vietnamese","Temporarily Doubled Up",1,"2015-2016"
"Cesar Chavez Academy","F","Filipino","Temporarily Doubled Up",1,"2015-2016"
"Cesar Chavez Academy","F","Hispanic","Temporarily Doubled Up",30,"2015-2016"
"Cesar Chavez Academy","F","Pac Islander -Samoan","Temporarily Doubled Up",1,"2015-2016"
"Cesar Chavez Academy","F","Pac Islander-Other","Temporarily Doubled Up",1,"2015-2016"
"Cesar Chavez Academy","F","White","Temporarily Doubled Up",9,"2015-2016"
"Cesar Chavez Academy","M","Asian-Japanese","Hotels/motels",1,"2015-2016"
"Cesar Chavez Academy","M","Asian-Japanese","Temporarily Doubled Up",1,"2015-2016"
"Cesar Chavez Academy","M","Asian-Korean","Temporarily Doubled Up",1,"2015-2016"
"Cesar Chavez Academy","M","Filipino","Temporarily Doubled Up",1,"2015-2016"
"Cesar Chavez Academy","M","Hispanic","Hotels/motels",3,"2015-2016"
"Cesar Chavez Academy","M","Hispanic","Temporarily Doubled Up",23,"2015-2016"
"Cesar Chavez Academy","M","White","Temporarily Doubled Up",7,"2015-2016"
"Citrus Hills Int","F","White","Temporarily Doubled Up",2,"2015-2016"
"Citrus Hills Int","M","Black or African American","Temporarily Doubled Up",2,"2015-2016"
"Clara Barton Elem","F","Asian-Chinese","Temporarily Doubled Up",4,"2015-2016"
"Clara Barton Elem","F","Black or African American","Temporarily Doubled Up",1,"2015-2016"
"Clara Barton Elem","F","Filipino","Temporarily Doubled Up",1,"2015-2016"
"Clara Barton Elem","F","Hispanic","Hotels/motels",1,"2015-2016"
"Clara Barton Elem","F","Hispanic","Temporarily Doubled Up",9,"2015-2016"
"Clara Barton Elem","F","Hispanic","Temporarily Unsheltered",1,"2015-2016"
"Clara Barton Elem","F","White","Temporarily Doubled Up",4,"2015-2016"
"Clara Barton Elem","M","Asian-Chinese","Temporarily Doubled Up",2,"2015-2016"
"Clara Barton Elem","M","Asian-Hmong","Temporarily Doubled Up",1,"2015-2016"
"Clara Barton Elem","M","Black or African American","Temporarily Doubled Up",3,"2015-2016"
"Clara Barton Elem","M","Filipino","Temporarily Doubled Up",1,"2015-2016"
"Clara Barton Elem","M","Hispanic","Hotels/motels",1,"2015-2016"
"Clara Barton Elem","M","Hispanic","Temporarily Doubled Up",13,"2015-2016"
"Clara Barton Elem","M","Hispanic","Temporary Shelters",2,"2015-2016"
"Clara Barton Elem","M","White","Temporarily Doubled Up",3,"2015-2016"
"Corona Fundamental Int","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2015-2016"
"Corona Fundamental Int","F","Filipino","Temporarily Doubled Up",1,"2015-2016"
"Corona Fundamental Int","F","Hispanic","Temporarily Doubled Up",6,"2015-2016"
"Corona Fundamental Int","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2015-2016"
"Corona Fundamental Int","M","Hispanic","Temporarily Doubled Up",1,"2015-2016"
"Corona Fundamental Int","M","White","Temporarily Doubled Up",2,"2015-2016"
"Corona High","F","Black or African American","Temporarily Doubled Up",1,"2015-2016"
"Corona High","F","Filipino","Temporarily Doubled Up",1,"2015-2016"
"Corona High","F","Hispanic","Hotels/motels",4,"2015-2016"
"Corona High","F","Hispanic","Temporarily Doubled Up",6,"2015-2016"
"Corona High","F","White","Temporarily Doubled Up",3,"2015-2016"
"Corona High","M","Black or African American","Temporarily Doubled Up",1,"2015-2016"
"Corona High","M","Filipino","Temporarily Doubled Up",1,"2015-2016"
"Corona High","M","Hispanic","Hotels/motels",2,"2015-2016"
"Corona High","M","Hispanic","Temporarily Doubled Up",4,"2015-2016"
"Corona High","M","White","Temporarily Doubled Up",1,"2015-2016"
"Corona Ranch Elem","F","Hispanic","Temporarily Doubled Up",4,"2015-2016"
"Corona Ranch Elem","M","Hispanic","Temporarily Doubled Up",2,"2015-2016"
"Corona-Norco Alternative","F","Black or African American","Temporarily Doubled Up",1,"2015-2016"
"Corona-Norco Alternative","F","White","Temporary Shelters",1,"2015-2016"
"Corona-Norco Alternative","M","Black or African American","Temporarily Doubled Up",1,"2015-2016"
"Corona-Norco Alternative","M","White","Hotels/motels",1,"2015-2016"
"Coronita Elem","M","Hispanic","Temporarily Doubled Up",5,"2015-2016"
"Coronita Elem","M","Hispanic","Temporary Shelters",2,"2015-2016"
"Dr. Augustine Ramirez Int.","F","Black or African American","Temporarily Doubled Up",3,"2015-2016"
"Dr. Augustine Ramirez Int.","F","Filipino","Temporarily Doubled Up",1,"2015-2016"
"Dr. Augustine Ramirez Int.","F","Hispanic","Temporarily Doubled Up",7,"2015-2016"
"Dr. Augustine Ramirez Int.","M","Asian-Chinese","Temporarily Doubled Up",1,"2015-2016"
"Dr. Augustine Ramirez Int.","M","Filipino","Temporarily Doubled Up",1,"2015-2016"
"Dr. Augustine Ramirez Int.","M","Hispanic","Temporarily Doubled Up",5,"2015-2016"
"Dr. Augustine Ramirez Int.","M","White","Temporarily Doubled Up",2,"2015-2016"
"Dr. Bernice Jameson Todd Elem","F","Black or African American","Temporarily Doubled Up",1,"2015-2016"
"Dr. Bernice Jameson Todd Elem","M","Black or African American","Temporarily Doubled Up",2,"2015-2016"
"Dr. Bernice Jameson Todd Elem","M","Hispanic","Temporarily Doubled Up",4,"2015-2016"
"Dr. Bernice Jameson Todd Elem","M","White","Temporarily Unsheltered",1,"2015-2016"
"Eastvale Elem","F","Black or African American","Temporarily Doubled Up",1,"2015-2016"
"Eastvale Elem","F","Hispanic","Temporarily Doubled Up",3,"2015-2016"
"Eastvale Elem","F","White","Temporarily Doubled Up",1,"2015-2016"
"Eastvale Elem","M","Black or African American","Temporarily Doubled Up",1,"2015-2016"
"Eastvale Elem","M","Hispanic","Temporarily Doubled Up",3,"2015-2016"
"Eisenhower Elem","F","Asian-Korean","Temporarily Doubled Up",1,"2015-2016"
"Eisenhower Elem","F","Asian-Vietnamese","Temporarily Doubled Up",2,"2015-2016"
"Eisenhower Elem","F","Hispanic","Temporarily Doubled Up",12,"2015-2016"
"Eisenhower Elem","F","White","Temporarily Doubled Up",9,"2015-2016"
"Eisenhower Elem","M","Asian-Asian Indian","Temporarily Doubled Up",2,"2015-2016"
"Eisenhower Elem","M","Asian-Vietnamese","Temporarily Doubled Up",2,"2015-2016"
"Eisenhower Elem","M","Black or African American","Temporarily Doubled Up",1,"2015-2016"
"Eisenhower Elem","M","Hispanic","Hotels/motels",1,"2015-2016"
"Eisenhower Elem","M","Hispanic","Temporarily Doubled Up",7,"2015-2016"
"Eisenhower Elem","M","White","Temporarily Doubled Up",7,"2015-2016"
"El Cerrito Middle","F","Black or African American","Temporarily Doubled Up",1,"2015-2016"
"El Cerrito Middle","F","Hispanic","Temporarily Doubled Up",3,"2015-2016"
"El Cerrito Middle","F","White","Temporarily Doubled Up",5,"2015-2016"
"El Cerrito Middle","M","Hispanic","Temporarily Doubled Up",4,"2015-2016"
"El Cerrito Middle","M","White","Temporarily Doubled Up",4,"2015-2016"
